"Location","Time","Both sexes combined","Women","Men"         
"Colombia","1975","24757000","12435000","12322000",
"Colombia","1976","25323000","12718000",12605000",
"Colombia","1977","25905000","13009000","12896000",
"Colombia","1978","26502000","13307000","13195000",
"Colombia","1979","27114000","13613000","13500000",
"Colombia","1980","27738000","13927000","13811000",
"Colombia","1981","28376000","14249000","14127000",
"Colombia","1982","29027000","14579000","14448000",
"Colombia","1983","29687000","14914000","14773000",
"Colombia","1984","30350000","15251000","15099000",
"Colombia","1985","31012000","15587000","15424000",
"Colombia","1986","31670000","15922000","15748000",
"Colombia","1987","32324000","16255000","16069000",
"Colombia","1988","32976000","16587000","16389000",
"Colombia","1989","33624000","16918000","16706000",
"Colombia","1990","34272000","17251000","17021000",
"Colombia","1991","34917000","17584000","17333000",
"Colombia","1992","35559000","17916000","17642000",
"Colombia","1993","36195000","18247000","17948000",
"Colombia","1994","36824000","18574000","18250000",
"Colombia","1995","37442000","18894000","18547000",
"Colombia","1996","38049000","19209000","18840000",
"Colombia","1997","38645000","19517000","19129000",
"Colombia","1998","39234000","19820000","19414000",
"Colombia","1999","39819000","20122000","19698000",
"Colombia","2000","40404000","20423000","19981000",
"Colombia","2001","40989000","20725000","20264000",
"Colombia","2002","41572000","21025000","20547000",
"Colombia","2003","42152000","21324000","20828000",
"Colombia","2004","42724000","21619000","21105000",
"Colombia","2005","43286000","21910000","21376000",
"Colombia","2006","43836000","22195000","21641000",
"Colombia","2007","44375000","22474000","21900000",
"Colombia","2008","44902000","22748000","22154000"