"Country or Area","Year","Sex","Coverage","Source","SourceID","Type","Value","Value Footnotes"
"Colombia","2008","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","2245.688","1,2"
"Colombia","2008","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","1785.962","1,2"
"Colombia","2008","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","459.726","1,2"
"Colombia","2008","Men","Total coverage","Labour force survey","# 0","First job seekers","186.778","1,2"
"Colombia","2008","Men","Total coverage","Labour force survey","# 0","Previously employed","846.192","1,2"
"Colombia","2008","Men","Total coverage","Labour force survey","# 0","Unemployed","1032.97","1,2"
"Colombia","2008","Women","Total coverage","Labour force survey","# 0","Unemployed","1212.719","1,2"
"Colombia","2008","Women","Total coverage","Labour force survey","# 0","Previously employed","939.77","1,2"
"Colombia","2008","Women","Total coverage","Labour force survey","# 0","First job seekers","272.949","1,2"
"Colombia","2008","Rates, total","Total coverage","Labour force survey","# 0","Unemployed","11.4","1,2"
"Colombia","2008","Rates, men","Total coverage","Labour force survey","# 0","Unemployed","8.9","1,2"
"Colombia","2008","Rates, women","Total coverage","Labour force survey","# 0","Unemployed","15.1","1,2"
"Colombia","2007","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","1677.56","1,2"
"Colombia","2007","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","2097.066","1,2"
"Colombia","2007","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","419.506","1,2"
"Colombia","2007","Men","Total coverage","Labour force survey","# 0","First job seekers","171.446","1,2"
"Colombia","2007","Men","Total coverage","Labour force survey","# 0","Unemployed","996.395","1,2"
"Colombia","2007","Men","Total coverage","Labour force survey","# 0","Previously employed","824.949","1,2"
"Colombia","2007","Women","Total coverage","Labour force survey","# 0","Previously employed","852.611","1,2"
"Colombia","2007","Women","Total coverage","Labour force survey","# 0","Unemployed","1092.834","1,2"
"Colombia","2007","Women","Total coverage","Labour force survey","# 0","First job seekers","240.223","1,2"
"Colombia","2007","Rates, total","Total coverage","Labour force survey","# 0","Unemployed","10.9","1,2"
"Colombia","2007","Rates, men","Total coverage","Labour force survey","# 0","Unemployed","8.7","1,2"
"Colombia","2007","Rates, women","Total coverage","Labour force survey","# 0","Unemployed","14.1","1,2"
"Colombia","2006","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","2424.808","1,2"
"Colombia","2006","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","1902.335","1,2"
"Colombia","2006","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","522.473","1,2"
"Colombia","2006","Men","Total coverage","Labour force survey","# 0","First job seekers","208.308","1,2"
"Colombia","2006","Men","Total coverage","Labour force survey","# 0","Previously employed","885.627","1,2"
"Colombia","2006","Men","Total coverage","Labour force survey","# 0","Unemployed","1093.935","1,2"
"Colombia","2006","Women","Total coverage","Labour force survey","# 0","Unemployed","1330.873","1,2"
"Colombia","2006","Women","Total coverage","Labour force survey","# 0","Previously employed","1016.708","1,2"
"Colombia","2006","Women","Total coverage","Labour force survey","# 0","First job seekers","314.165","1,2"
"Colombia","2006","Rates, total","Total coverage","Labour force survey","# 0","Unemployed","12.7","1,2"
"Colombia","2006","Rates, men","Total coverage","Labour force survey","# 0","Unemployed","9.7","1,2"
"Colombia","2006","Rates, women","Total coverage","Labour force survey","# 0","Unemployed","17","1,2"
"Colombia","2005","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","2260.573","1,2"
"Colombia","2005","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","1831.811","1,2"
"Colombia","2005","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","428.762","1,2"
"Colombia","2005","Men","Total coverage","Labour force survey","# 0","First job seekers","175.699","1,2"
"Colombia","2005","Men","Total coverage","Labour force survey","# 0","Previously employed","843.655","1,2"
"Colombia","2005","Men","Total coverage","Labour force survey","# 0","Unemployed","1019.354","1,2"
"Colombia","2005","Women","Total coverage","Labour force survey","# 0","Unemployed","1241.219","1,2"
"Colombia","2005","Women","Total coverage","Labour force survey","# 0","Previously employed","988.156","1,2"
"Colombia","2005","Women","Total coverage","Labour force survey","# 0","First job seekers","253.063","1,2"
"Colombia","2005","Rates, total","Total coverage","Labour force survey","# 0","Unemployed","11.6","1,2"
"Colombia","2005","Rates, men","Total coverage","Labour force survey","# 0","Unemployed","8.8","1,2"
"Colombia","2005","Rates, women","Total coverage","Labour force survey","# 0","Unemployed","15.7","1,2"
"Colombia","2004","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","2461.995","1,2"
"Colombia","2004","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","509.191","1,2"
"Colombia","2004","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","1952.804","1,2"
"Colombia","2004","Men","Total coverage","Labour force survey","# 0","Previously employed","931.457","1,2"
"Colombia","2004","Men","Total coverage","Labour force survey","# 0","First job seekers","200.646","1,2"
"Colombia","2004","Men","Total coverage","Labour force survey","# 0","Unemployed","1132.103","1,2"
"Colombia","2004","Women","Total coverage","Labour force survey","# 0","Unemployed","1329.891","1,2"
"Colombia","2004","Women","Total coverage","Labour force survey","# 0","First job seekers","308.544","1,2"
"Colombia","2004","Women","Total coverage","Labour force survey","# 0","Previously employed","1021.347","1,2"
"Colombia","2004","Rates, total","Total coverage","Labour force survey","# 0","Unemployed","12.8","1,2"
"Colombia","2004","Rates, men","Total coverage","Labour force survey","# 0","Unemployed","9.9","1,2"
"Colombia","2004","Rates, women","Total coverage","Labour force survey","# 0","Unemployed","16.9","1,2"
"Colombia","2003","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","2797.269","1,2"
"Colombia","2003","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","2255.521","1,2"
"Colombia","2003","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","541.7476","1,2"
"Colombia","2003","Men","Total coverage","Labour force survey","# 0","First job seekers","222.567","1,2"
"Colombia","2003","Men","Total coverage","Labour force survey","# 0","Previously employed","1042.2","1,2"
"Colombia","2003","Men","Total coverage","Labour force survey","# 0","Unemployed","1264.767","1,2"
"Colombia","2003","Women","Total coverage","Labour force survey","# 0","Unemployed","1532.501","1,2"
"Colombia","2003","Women","Total coverage","Labour force survey","# 0","Previously employed","1213.321","1,2"
"Colombia","2003","Women","Total coverage","Labour force survey","# 0","First job seekers","319.18","1,2"
"Colombia","2003","Rates, total","Total coverage","Labour force survey","# 0","Unemployed","14.4","1,2"
"Colombia","2003","Rates, men","Total coverage","Labour force survey","# 0","Unemployed","11.1","1,2"
"Colombia","2003","Rates, women","Total coverage","Labour force survey","# 0","Unemployed","18.9","1,2"
"Colombia","2002","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","2848.63","1,2"
"Colombia","2002","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","528.279","1,2"
"Colombia","2002","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","2320.351","1,2"
"Colombia","2002","Men","Total coverage","Labour force survey","# 0","Previously employed","1122.294","1,2"
"Colombia","2002","Men","Total coverage","Labour force survey","# 0","First job seekers","219.046","1,2"
"Colombia","2002","Men","Total coverage","Labour force survey","# 0","Unemployed","1341.34","1,2"
"Colombia","2002","Women","Total coverage","Labour force survey","# 0","Unemployed","1507.289","1,2"
"Colombia","2002","Women","Total coverage","Labour force survey","# 0","First job seekers","309.232","1,2"
"Colombia","2002","Women","Total coverage","Labour force survey","# 0","Previously employed","1198.057","1,2"
"Colombia","2002","Rates, total","Total coverage","Labour force survey","# 0","Unemployed","15.2","1,2"
"Colombia","2002","Rates, men","Total coverage","Labour force survey","# 0","Unemployed","12.2","1,2"
"Colombia","2002","Rates, women","Total coverage","Labour force survey","# 0","Unemployed","19.7","1,2"
"Colombia","2001","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","2708.828","1,2"
"Colombia","2001","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","2224.407","1,2"
"Colombia","2001","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","484.421","1,2"
"Colombia","2001","Men","Total coverage","Labour force survey","# 0","First job seekers","189.421","1,2"
"Colombia","2001","Men","Total coverage","Labour force survey","# 0","Previously employed","1068.185","1,2"
"Colombia","2001","Men","Total coverage","Labour force survey","# 0","Unemployed","1257.606","1,2"
"Colombia","2001","Women","Total coverage","Labour force survey","# 0","Unemployed","1451.222","1,2"
"Colombia","2001","Women","Total coverage","Labour force survey","# 0","Previously employed","1156.222","1,2"
"Colombia","2001","Women","Total coverage","Labour force survey","# 0","First job seekers","295","1,2"
"Colombia","2001","Rates, total","Total coverage","Labour force survey","# 0","Unemployed","14.6","1,2"
"Colombia","2001","Rates, men","Total coverage","Labour force survey","# 0","Unemployed","11.5","1,2"
"Colombia","2001","Rates, women","Total coverage","Labour force survey","# 0","Unemployed","19.1","1,2"
"Colombia","2000","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","1526.008","3"
"Colombia","2000","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","1209.081","3"
"Colombia","2000","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","316.927","3"
"Colombia","2000","Men","Total coverage","Labour force survey","# 2","First job seekers","132.548","3"
"Colombia","2000","Men","Total coverage","Labour force survey","# 2","Previously employed","527.644","3"
"Colombia","2000","Men","Total coverage","Labour force survey","# 2","Unemployed","660.192","3"
"Colombia","2000","Women","Total coverage","Labour force survey","# 2","Unemployed","865.816","3"
"Colombia","2000","Women","Total coverage","Labour force survey","# 2","Previously employed","681.437","3"
"Colombia","2000","Women","Total coverage","Labour force survey","# 2","First job seekers","184.379","3"
"Colombia","2000","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","20.5","3"
"Colombia","2000","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","16.9","3"
"Colombia","2000","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","24.5","3"
"Colombia","1999","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","1415.438","3"
"Colombia","1999","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","1165.421","3"
"Colombia","1999","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","250.017","3"
"Colombia","1999","Men","Total coverage","Labour force survey","# 2","First job seekers","100.994","3"
"Colombia","1999","Men","Total coverage","Labour force survey","# 2","Previously employed","548.845","3"
"Colombia","1999","Men","Total coverage","Labour force survey","# 2","Unemployed","649.839","3"
"Colombia","1999","Women","Total coverage","Labour force survey","# 2","Unemployed","765.599","3"
"Colombia","1999","Women","Total coverage","Labour force survey","# 2","Previously employed","616.576","3"
"Colombia","1999","Women","Total coverage","Labour force survey","# 2","First job seekers","149.023","3"
"Colombia","1999","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","20.1","3"
"Colombia","1999","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","17.2","3"
"Colombia","1999","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","23.3","3"
"Colombia","1998","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","998.287","3"
"Colombia","1998","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","816.438","3"
"Colombia","1998","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","181.849","3"
"Colombia","1998","Men","Total coverage","Labour force survey","# 2","First job seekers","71.716","3"
"Colombia","1998","Men","Total coverage","Labour force survey","# 2","Previously employed","385.493","3"
"Colombia","1998","Men","Total coverage","Labour force survey","# 2","Unemployed","457.209","3"
"Colombia","1998","Women","Total coverage","Labour force survey","# 2","Unemployed","541.078","3"
"Colombia","1998","Women","Total coverage","Labour force survey","# 2","Previously employed","430.945","3"
"Colombia","1998","Women","Total coverage","Labour force survey","# 2","First job seekers","110.133","3"
"Colombia","1998","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","15","3"
"Colombia","1998","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","12.5","3"
"Colombia","1998","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","18","3"
"Colombia","1997","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","782.07","3"
"Colombia","1997","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","616.387","3"
"Colombia","1997","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","165.683","3"
"Colombia","1997","Men","Total coverage","Labour force survey","# 2","First job seekers","58.72","3"
"Colombia","1997","Men","Total coverage","Labour force survey","# 2","Previously employed","294.758","3"
"Colombia","1997","Men","Total coverage","Labour force survey","# 2","Unemployed","353.478","3"
"Colombia","1997","Women","Total coverage","Labour force survey","# 2","Unemployed","428.592","3"
"Colombia","1997","Women","Total coverage","Labour force survey","# 2","Previously employed","321.629","3"
"Colombia","1997","Women","Total coverage","Labour force survey","# 2","First job seekers","106.963","3"
"Colombia","1997","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","12.1","3"
"Colombia","1997","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","9.8","3"
"Colombia","1997","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","15.1","3"
"Colombia","1996","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","735.184","3"
"Colombia","1996","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","584.48","3"
"Colombia","1996","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","150.704","3"
"Colombia","1996","Men","Total coverage","Labour force survey","# 2","First job seekers","60.191","3"
"Colombia","1996","Men","Total coverage","Labour force survey","# 2","Previously employed","276.063","3"
"Colombia","1996","Men","Total coverage","Labour force survey","# 2","Unemployed","336.254","3"
"Colombia","1996","Women","Total coverage","Labour force survey","# 2","Unemployed","398.93","3"
"Colombia","1996","Women","Total coverage","Labour force survey","# 2","Previously employed","308.417","3"
"Colombia","1996","Women","Total coverage","Labour force survey","# 2","First job seekers","90.513","3"
"Colombia","1996","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","12","3"
"Colombia","1996","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","9.6","3"
"Colombia","1996","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","15.1","3"
"Colombia","1995","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","521.925","3"
"Colombia","1995","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","394.374","3"
"Colombia","1995","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","127.551","3"
"Colombia","1995","Men","Total coverage","Labour force survey","# 2","First job seekers","49.412","3"
"Colombia","1995","Men","Total coverage","Labour force survey","# 2","Previously employed","180.829","3"
"Colombia","1995","Men","Total coverage","Labour force survey","# 2","Unemployed","230.241","3"
"Colombia","1995","Women","Total coverage","Labour force survey","# 2","Unemployed","291.684","3"
"Colombia","1995","Women","Total coverage","Labour force survey","# 2","Previously employed","213.545","3"
"Colombia","1995","Women","Total coverage","Labour force survey","# 2","First job seekers","78.139","3"
"Colombia","1995","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","8.7","3"
"Colombia","1995","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","6.8","3"
"Colombia","1995","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","11.3","3"
"Colombia","1994","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","442.286","3"
"Colombia","1994","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","311.869","3"
"Colombia","1994","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","130.417","3"
"Colombia","1994","Men","Total coverage","Labour force survey","# 2","First job seekers","45.146","3"
"Colombia","1994","Men","Total coverage","Labour force survey","# 2","Previously employed","118.168","3"
"Colombia","1994","Men","Total coverage","Labour force survey","# 2","Unemployed","163.314","3"
"Colombia","1994","Women","Total coverage","Labour force survey","# 2","Unemployed","278.972","3"
"Colombia","1994","Women","Total coverage","Labour force survey","# 2","Previously employed","193.701","3"
"Colombia","1994","Women","Total coverage","Labour force survey","# 2","First job seekers","85.271","3"
"Colombia","1994","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","7.6","3"
"Colombia","1994","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","4.9","3"
"Colombia","1994","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","11.2","3"
"Colombia","1993","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","447.048","3"
"Colombia","1993","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","333.504","3"
"Colombia","1993","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","113.544","3"
"Colombia","1993","Men","Total coverage","Labour force survey","# 2","First job seekers","40.959","3"
"Colombia","1993","Men","Total coverage","Labour force survey","# 2","Previously employed","133.024","3"
"Colombia","1993","Men","Total coverage","Labour force survey","# 2","Unemployed","173.983","3"
"Colombia","1993","Women","Total coverage","Labour force survey","# 2","Unemployed","273.065","3"
"Colombia","1993","Women","Total coverage","Labour force survey","# 2","Previously employed","200.48","3"
"Colombia","1993","Women","Total coverage","Labour force survey","# 2","First job seekers","72.585","3"
"Colombia","1993","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","7.8","3"
"Colombia","1993","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","5.3","3"
"Colombia","1993","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","11","3"
"Colombia","1992","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","505.344","3"
"Colombia","1992","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","370.788","3"
"Colombia","1992","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","134.556","3"
"Colombia","1992","Men","Total coverage","Labour force survey","# 2","First job seekers","44.657","3"
